Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Total Precipitation (low resolution)  [sfc];Snowfall Amount (high resolution)  [sfc];Snowfall Amount (low resolution)  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2020;02;28;07;00;-0.28;79.00;1023.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.14;18.43;0.80;333.43;12.07;100.30;3.96
2020;02;28;08;00;0.15;74.00;1024.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;44.25;27.59;1.48;345.96;0.80;333.43;11.44;102.72;5.40
2020;02;28;09;00;1.78;73.00;1024.70;0.00;0.00;0.00;0.00;0.30;1.00;0.00;0.00;60.00;187.79;4.07;45.00;2.28;18.43;12.26;93.37;9.00
2020;02;28;10;00;3.75;68.00;1023.20;0.00;0.00;0.00;0.00;60.00;0.00;60.00;0.00;59.81;346.21;9.42;46.55;10.01;37.69;12.96;91.59;10.08
2020;02;28;11;00;5.00;65.00;1022.90;0.00;0.00;0.00;0.00;3.00;0.00;3.00;0.00;21.70;472.59;8.91;43.36;9.96;40.60;9.78;96.34;9.72
2020;02;28;12;00;6.14;61.00;1022.30;0.00;0.00;0.00;0.00;2.00;0.00;0.00;2.00;58.09;560.70;6.64;49.40;7.39;43.03;5.86;100.62;6.12
2020;02;28;13;00;7.11;53.00;1021.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;58.72;598.97;3.24;90.00;2.28;71.57;4.90;162.90;4.32
2020;02;28;14;00;8.39;45.00;1020.30;0.00;0.00;0.00;0.00;3.30;11.00;0.00;0.00;60.00;588.29;1.14;71.57;0.36;360.00;3.67;168.69;5.40
2020;02;28;15;00;9.26;40.00;1019.10;0.00;0.00;0.00;0.00;7.00;10.00;7.00;0.00;57.89;527.77;2.55;225.00;4.02;243.43;5.59;194.93;9.00
2020;02;28;16;00;9.84;35.00;1018.80;0.00;0.00;0.00;0.00;4.00;11.00;3.00;4.00;55.53;421.86;7.75;201.80;8.89;201.37;13.32;198.92;17.28
2020;02;28;17;00;9.53;45.00;1018.40;0.00;0.00;0.00;0.00;2.40;8.00;2.00;0.00;57.45;287.47;13.56;190.71;15.73;195.95;20.52;201.61;18.00
2020;02;28;18;00;7.86;55.00;1018.70;0.00;0.00;0.00;0.00;100.00;18.00;1.00;100.00;58.47;129.94;12.14;191.98;18.56;198.08;25.73;197.93;17.28
